rank	text	glyph	tier	cl100k	o200k	saved	freq_per_M	value	cum_value_pct	domain
329	SET TRANSACTION ISOLATION LEVEL	具	A	6	7	6	500.0	3000.0	47.05	sql-data
330	GRANT ALL PRIVILEGES	内	A	6	6	5	600.0	3000.0	47.13	sql-data
331	git branch	円	A	2	2	1	2900.0	2900.0	47.21	shell-cli-git
332	CREATE INDEX	册	A	2	2	1	2900.0	2900.0	47.3	sql-data
333	REFERENCES	再	A	1	2	1	2900.0	2900.0	47.38	sql-data
334	INTEGER NOT NULL	写	A	3	3	2	1400.0	2800.0	47.46	sql-data
335	.mkdir(parents=True, exist_ok=True)	出	A	9	9	8	350.0	2800.0	47.53	python
336	Optional[Dict[str, Any]] = None	击	A	9	9	8	350.0	2800.0	47.61	python
337	const char *	分	A	3	3	2	1400.0	2800.0	47.69	code-general
338	return nil	列	A	2	2	1	2800.0	2800.0	47.77	code-general
339	std::unique_ptr<	初	A	5	5	4	700.0	2800.0	47.85	code-general
340	make sure that	利	A	3	3	2	1400.0	2800.0	47.93	markdown-docs
341	how do you	别	A	3	3	2	1400.0	2800.0	48.01	prompt-instructions
342	how to	到	A	2	2	1	2800.0	2800.0	48.09	prompt-instructions
343	write a	制	A	2	2	1	2800.0	2800.0	48.16	prompt-instructions
344	the code	前	A	2	2	1	2800.0	2800.0	48.24	prompt-instructions
345	i need	力	A	2	2	1	2800.0	2800.0	48.32	prompt-instructions
346	fine-tuning	功	A	3	3	2	1400.0	2800.0	48.4	ml-ai-jargon
347	pnpm install	务	A	3	3	2	1400.0	2800.0	48.48	shell-cli-git
348	rm -f	动	A	3	3	2	1400.0	2800.0	48.56	shell-cli-git
349	docker-compose.yml	動	A	3	3	2	1400.0	2800.0	48.64	shell-cli-git
350	git rebase -i	包	A	5	5	4	700.0	2800.0	48.71	shell-cli-git
351	git pull --rebase	化	A	5	5	4	700.0	2800.0	48.79	shell-cli-git
352	npm run lint	北	A	3	3	2	1400.0	2800.0	48.87	shell-cli-git
353	README.md	区	A	2	2	1	2800.0	2800.0	48.95	shell-cli-git
354	command not found	十	A	3	3	2	1400.0	2800.0	49.03	shell-cli-git
355	C:\Users	午	A	3	3	2	1400.0	2800.0	49.11	shell-cli-git
356	src/	华	A	2	2	1	2800.0	2800.0	49.19	shell-cli-git
357	http://localhost	单	A	3	3	2	1400.0	2800.0	49.27	shell-cli-git
358	**Example:**	南	A	3	3	2	1400.0	2800.0	49.34	markdown-docs
359	for more details	历	A	3	3	2	1400.0	2800.0	49.42	markdown-docs
360	if you have any questions	原	A	5	5	4	700.0	2800.0	49.5	business-email
361	request to the	去	A	3	3	2	1400.0	2800.0	49.58	web-http-api
362	UNIQUE INDEX	县	A	3	3	2	1400.0	2800.0	49.66	sql-data
363	MAX(	参	A	2	2	1	2800.0	2800.0	49.74	sql-data
364	DENSE_RANK()	友	A	4	5	4	700.0	2800.0	49.82	sql-data
365	UNIQUE (	发	A	3	3	2	1400.0	2800.0	49.89	sql-data
366	router = APIRouter()	取	A	5	6	5	550.0	2750.0	49.97	python
367	raise HTTPException(status_code=404, detail=	变	A	10	10	9	300.0	2700.0	50.05	python
368	raise HTTPException(status_code=400, detail=	口	A	10	10	9	300.0	2700.0	50.12	python
369	is there a way	只	A	4	4	3	900.0	2700.0	50.2	prompt-instructions
370	make it	可	A	2	2	1	2700.0	2700.0	50.28	prompt-instructions
371	import numpy as np	台	A	4	4	3	900.0	2700.0	50.35	ml-ai-jargon
372	git merge	右	A	2	2	1	2700.0	2700.0	50.43	shell-cli-git
373	git branch -d	号	A	4	4	3	900.0	2700.0	50.5	shell-cli-git
374	git remote -v	司	A	4	4	3	900.0	2700.0	50.58	shell-cli-git
375	tar -xvf	合	A	4	4	3	900.0	2700.0	50.65	shell-cli-git
376	curl -sSL	名	A	4	4	3	900.0	2700.0	50.73	shell-cli-git
377	NODE_ENV=production	后	A	4	4	3	900.0	2700.0	50.81	shell-cli-git
378	localhost:8080	向	A	4	4	3	900.0	2700.0	50.88	shell-cli-git
379	make sure you have	否	A	4	4	3	900.0	2700.0	50.96	markdown-docs
380	i would like to	含	A	4	4	3	900.0	2700.0	51.03	business-email
381	GROUP BY 1	听	A	4	4	3	900.0	2700.0	51.11	sql-data
382	come up with	启	A	3	3	2	1300.0	2600.0	51.18	prompt-instructions
383	-> None:	告	A	3	3	2	1300.0	2600.0	51.26	python
384	= None	员	A	2	2	1	2600.0	2600.0	51.33	python
385	try {	周	A	2	2	1	2600.0	2600.0	51.4	code-general
386	#include <	命	A	2	2	1	2600.0	2600.0	51.47	code-general
387	return err	和	A	2	2	1	2600.0	2600.0	51.55	code-general
388	map[string]	品	A	3	3	2	1300.0	2600.0	51.62	code-general
389	throw new	哈	A	2	2	1	2600.0	2600.0	51.69	code-general
390	i'd like	商	A	3	3	2	1300.0	2600.0	51.77	prompt-instructions
391	you are an	問	A	3	3	2	1300.0	2600.0	51.84	prompt-instructions
392	explain how	器	A	2	3	2	1300.0	2600.0	51.91	prompt-instructions
393	list of	四	A	2	2	1	2600.0	2600.0	51.99	prompt-instructions
394	create a	回	A	2	2	1	2600.0	2600.0	52.06	prompt-instructions
395	help me	国	A	2	2	1	2600.0	2600.0	52.13	prompt-instructions
396	if you	图	A	2	2	1	2600.0	2600.0	52.2	prompt-instructions
397	origin main	土	A	2	2	1	2600.0	2600.0	52.28	shell-cli-git
398	apt-get update	在	A	3	3	2	1300.0	2600.0	52.35	shell-cli-git
399	~/.ssh	地	A	3	3	2	1300.0	2600.0	52.42	shell-cli-git
400	grep -i	场	A	3	3	2	1300.0	2600.0	52.5	shell-cli-git
401	kill -9	址	A	3	3	2	1300.0	2600.0	52.57	shell-cli-git
402	| grep	型	A	2	2	1	2600.0	2600.0	52.64	shell-cli-git
403	tail -f	城	A	3	3	2	1300.0	2600.0	52.72	shell-cli-git
404	npm run test	基	A	3	3	2	1300.0	2600.0	52.79	shell-cli-git
405	.github/workflows	報	A	3	3	2	1300.0	2600.0	52.86	shell-cli-git
406	as shown below	場	A	3	3	2	1300.0	2600.0	52.94	markdown-docs
407	```json	填	A	2	2	1	2600.0	2600.0	53.01	markdown-docs
408	## Getting Started	增	A	3	3	2	1300.0	2600.0	53.08	markdown-docs
409	by default	声	A	2	2	1	2600.0	2600.0	53.15	markdown-docs
410	in this example	处	A	3	3	2	1300.0	2600.0	53.23	markdown-docs
411	run the following	备	A	3	3	2	1300.0	2600.0	53.3	markdown-docs
412	a set of	复	A	3	3	2	1300.0	2600.0	53.37	markdown-docs
413	the same as	外	A	3	3	2	1300.0	2600.0	53.45	markdown-docs
414	i wanted to reach out	大	A	5	5	4	650.0	2600.0	53.52	business-email
415	API key	天	A	2	2	1	2600.0	2600.0	53.59	web-http-api
416	parse the response	失	A	3	3	2	1300.0	2600.0	53.67	web-http-api
417	try/catch	头	A	3	3	2	1300.0	2600.0	53.74	web-http-api
418	from the response	女	A	3	3	2	1300.0	2600.0	53.81	web-http-api
419	CREATE UNIQUE INDEX	好	A	3	3	2	1300.0	2600.0	53.88	sql-data
420	RETURNING *	始	A	3	3	2	1300.0	2600.0	53.96	sql-data
421	END AS	子	A	2	2	1	2600.0	2600.0	54.03	sql-data
422	import pandas as pd	字	A	4	4	3	850.0	2550.0	54.1	ml-ai-jargon
423	let me know if you have any questions	存	A	8	8	7	360.0	2520.0	54.17	business-email
424	git fetch	学	A	2	2	1	2500.0	2500.0	54.24	shell-cli-git
425	except (TypeError, ValueError):	安	A	6	8	7	350.0	2450.0	54.31	python
426	from typing import Any, Dict, Optional	宋	A	8	8	7	350.0	2450.0	54.38	python
427	in this section	完	A	3	3	2	1200.0	2400.0	54.45	markdown-docs
428	so that	定	A	2	2	1	2400.0	2400.0	54.52	prompt-instructions
429	def __init__(self	实	A	5	5	4	600.0	2400.0	54.58	python
430	-> str:	审	A	3	3	2	1200.0	2400.0	54.65	python
431	: number	客	A	2	2	1	2400.0	2400.0	54.72	js-ts
432	break;	家	A	2	2	1	2400.0	2400.0	54.79	code-general
433	i < n;	容	A	4	4	3	800.0	2400.0	54.85	code-general
434	.unwrap()	密	A	2	2	1	2400.0	2400.0	54.92	code-general
435	e.printStackTrace()	导	A	3	5	4	600.0	2400.0	54.99	code-general
436	std::shared_ptr<	将	A	5	5	4	600.0	2400.0	55.06	code-general
437	std::move(	小	A	4	4	3	800.0	2400.0	55.12	code-general
438	template <typename T>	少	A	5	5	4	600.0	2400.0	55.19	code-general
439	return result;	尔	A	3	3	2	1200.0	2400.0	55.26	code-general
440	== 0	就	A	3	3	2	1200.0	2400.0	55.32	code-general
441	new ArrayList<>()	局	A	4	5	4	600.0	2400.0	55.39	code-general
442	explain why	展	A	2	3	2	1200.0	2400.0	55.46	prompt-instructions
443	explain the difference between	山	A	4	5	4	600.0	2400.0	55.53	prompt-instructions
444	give me an example	岁	A	4	4	3	800.0	2400.0	55.59	prompt-instructions
445	show me how to	−	A	4	4	3	800.0	2400.0	55.66	prompt-instructions
446	the same	™	A	2	2	1	2400.0	2400.0	55.73	prompt-instructions
447	doesn't work	←	A	3	3	2	1200.0	2400.0	55.8	prompt-instructions
448	convolutional neural network	►	A	5	5	4	600.0	2400.0	55.86	ml-ai-jargon
449	git remote	☴	A	2	2	1	2400.0	2400.0	55.93	shell-cli-git
450	pip3 install	♀	A	3	3	2	1200.0	2400.0	56.0	shell-cli-git
451	/var/log	♥	A	2	3	2	1200.0	2400.0	56.07	shell-cli-git
452	docker run	♪	A	2	2	1	2400.0	2400.0	56.13	shell-cli-git
453	git push --force	✔	A	4	4	3	800.0	2400.0	56.2	shell-cli-git
454	git cherry-pick	⠀	A	4	4	3	800.0	2400.0	56.27	shell-cli-git
455	grep -rn	─	A	3	3	2	1200.0	2400.0	56.34	shell-cli-git
456	yarn dev	━	A	3	3	2	1200.0	2400.0	56.4	shell-cli-git
457	Changes not staged for commit	│	A	5	5	4	600.0	2400.0	56.47	shell-cli-git
458	## Prerequisites	═	A	3	4	3	800.0	2400.0	56.54	markdown-docs
459	out of the box	║	A	4	4	3	800.0	2400.0	56.61	markdown-docs
460	refer to the	╗	A	3	3	2	1200.0	2400.0	56.67	markdown-docs
461	if you are using	╝	A	4	4	3	800.0	2400.0	56.74	markdown-docs
462	is equal to	█	A	3	3	2	1200.0	2400.0	56.81	math-logic
463	looking forward to hearing from you	░	A	6	6	5	480.0	2400.0	56.88	business-email
464	request body	、	A	2	2	1	2400.0	2400.0	56.94	web-http-api
465	access token	。	A	2	2	1	2400.0	2400.0	57.01	web-http-api
466	exponential backoff	《	A	4	4	3	800.0	2400.0	57.08	web-http-api
467	the response object	》	A	3	3	2	1200.0	2400.0	57.15	web-http-api
468	AUTO_INCREMENT	「	A	2	2	1	2400.0	2400.0	57.21	sql-data
469	UPDATE ... SET	」	A	3	3	2	1200.0	2400.0	57.28	sql-data
470	MIN(	『	A	2	2	1	2400.0	2400.0	57.35	sql-data
471	DATE_TRUNC	』	A	2	3	2	1200.0	2400.0	57.41	sql-data
472	NOW()	【	A	2	2	1	2400.0	2400.0	57.48	sql-data
473	BIGINT	】	A	2	2	1	2400.0	2400.0	57.55	sql-data
474	please let me know if	〜	A	5	5	4	580.0	2320.0	57.61	business-email
475	for me	΄	B	2	2	1	2300.0	2300.0	57.68	prompt-instructions
476	requirements.txt	Ά	B	2	2	1	2300.0	2300.0	57.74	shell-cli-git
477	docker build	Έ	B	2	2	1	2300.0	2300.0	57.81	shell-cli-git
478	GET request	Ό	B	2	2	1	2300.0	2300.0	57.87	web-http-api
479	HTTP request	ΐ	B	2	2	1	2300.0	2300.0	57.94	web-http-api
480	IF EXISTS	Α	B	2	2	1	2300.0	2300.0	58.0	sql-data
481	AVG(	Β	B	3	2	1	2300.0	2300.0	58.07	sql-data
482	int main(int argc, char	Γ	B	6	6	5	450.0	2250.0	58.13	code-general
483	the best way to	Δ	B	4	4	3	750.0	2250.0	58.19	prompt-instructions
484	POST request	Ε	B	2	2	1	2250.0	2250.0	58.26	web-http-api
485	a number of	Ζ	B	3	3	2	1100.0	2200.0	58.32	markdown-docs
486	request: Request	Η	B	3	3	2	1100.0	2200.0	58.38	python
487	List[str]	Θ	B	3	3	2	1100.0	2200.0	58.44	python
488	for row in	Ι	B	3	3	2	1100.0	2200.0	58.5	python
489	profile_id	Κ	B	2	2	1	2200.0	2200.0	58.57	python
490	ADD COLUMN	Λ	B	2	2	1	2200.0	2200.0	58.63	sql-data
491	const [	Μ	B	2	2	1	2200.0	2200.0	58.69	js-ts
492	useState(	Ν	B	2	3	2	1100.0	2200.0	58.75	js-ts
493	string | null	Ξ	B	3	3	2	1100.0	2200.0	58.81	js-ts
494	println!(	Ο	B	2	2	1	2200.0	2200.0	58.87	code-general
495	func (	Π	B	2	2	1	2200.0	2200.0	58.94	code-general
496	#[derive(	Ρ	B	3	3	2	1100.0	2200.0	59.0	code-general
497	std::endl	Σ	B	3	3	2	1100.0	2200.0	59.06	code-general
498	!= 0	Τ	B	3	3	2	1100.0	2200.0	59.12	code-general
499	i++	Υ	B	2	2	1	2200.0	2200.0	59.18	code-general
500	.push_back(	Φ	B	3	3	2	1100.0	2200.0	59.25	code-general
501	the following code	Χ	B	3	3	2	1100.0	2200.0	59.31	prompt-instructions
502	tell me about	Ψ	B	3	3	2	1100.0	2200.0	59.37	prompt-instructions
503	i'm getting	Ω	B	3	3	2	1100.0	2200.0	59.43	prompt-instructions
504	here is	ζ	B	2	2	1	2200.0	2200.0	59.49	prompt-instructions
505	i need a	ξ	B	3	3	2	1100.0	2200.0	59.55	prompt-instructions
506	for each	ψ	B	2	2	1	2200.0	2200.0	59.62	markdown-docs
507	each of the	ϊ	B	3	3	2	1100.0	2200.0	59.68	markdown-docs
508	the best	ϋ	B	2	2	1	2200.0	2200.0	59.74	prompt-instructions
509	should be	ύ	B	2	2	1	2200.0	2200.0	59.8	prompt-instructions
510	all of the	ώ	B	3	3	2	1100.0	2200.0	59.86	prompt-instructions
511	that i	ἀ	B	2	2	1	2200.0	2200.0	59.93	prompt-instructions
512	git reset	ἐ	B	2	2	1	2200.0	2200.0	59.99	shell-cli-git
513	chmod 755	ὐ	B	3	3	2	1100.0	2200.0	60.05	shell-cli-git
514	ls -al	ὰ	B	3	3	2	1100.0	2200.0	60.11	shell-cli-git
515	~/.config	ὶ	B	3	3	2	1100.0	2200.0	60.17	shell-cli-git
516	HEAD~1	ί	B	3	3	2	1100.0	2200.0	60.23	shell-cli-git
517	systemctl restart	ὸ	B	3	3	2	1100.0	2200.0	60.3	shell-cli-git
518	yarn build	ῖ	B	3	3	2	1100.0	2200.0	60.36	shell-cli-git
519	see the following	ῦ	B	3	3	2	1100.0	2200.0	60.42	markdown-docs
520	**Warning:**	ῶ	B	3	3	2	1100.0	2200.0	60.48	markdown-docs
521	**Usage:**	Ё	B	3	3	2	1100.0	2200.0	60.54	markdown-docs
522	query parameters	Є	B	2	2	1	2200.0	2200.0	60.61	web-http-api
523	Set-Cookie	Ѕ	B	3	3	2	1100.0	2200.0	60.67	web-http-api
524	fetch(url)	І	B	3	3	2	1100.0	2200.0	60.73	web-http-api
525	to the endpoint	Ї	B	3	3	2	1100.0	2200.0	60.79	web-http-api
526	CAST(	Ј	B	2	2	1	2200.0	2200.0	60.85	sql-data
527	SUBSTRING(	Ў	B	3	3	2	1100.0	2200.0	60.91	sql-data
528	DATETIME	Ж	B	2	2	1	2200.0	2200.0	60.98	sql-data
529	if and only if	Й	B	4	4	3	720.0	2160.0	61.04	math-logic
530	i just wanted to follow up on	Х	B	7	7	6	360.0	2160.0	61.1	business-email
531	please let me know if you have any further questions	Ш	B	10	10	9	240.0	2160.0	61.16	business-email
532	from fastapi import	Щ	B	4	4	3	700.0	2100.0	61.22	python
533	logger = logging.getLogger(__name__)	Ъ	B	7	8	7	300.0	2100.0	61.28	python
534	from 'react'	Ы	B	4	4	3	700.0	2100.0	61.33	js-ts
535	onClick={() =>	Ь	B	3	4	3	700.0	2100.0	61.39	js-ts
536	public static void main	Ю	B	4	4	3	700.0	2100.0	61.45	code-general
537	fn main() {	ђ	B	4	4	3	700.0	2100.0	61.51	code-general
538	String::from(	ѓ	B	4	4	3	700.0	2100.0	61.57	code-general
539	func (s *	є	B	4	4	3	700.0	2100.0	61.63	code-general
540	pretend you are	ѕ	B	4	4	3	700.0	2100.0	61.69	prompt-instructions
541	explain the difference	ї	B	3	4	3	700.0	2100.0	61.75	prompt-instructions
542	tell me	ј	B	2	2	1	2100.0	2100.0	61.81	prompt-instructions
543	based on the following	љ	B	4	4	3	700.0	2100.0	61.87	prompt-instructions
544	come up with a	њ	B	4	4	3	700.0	2100.0	61.92	prompt-instructions
545	machine learning	ћ	B	2	2	1	2100.0	2100.0	61.98	ml-ai-jargon
546	npm start	ќ	B	2	2	1	2100.0	2100.0	62.04	shell-cli-git
547	--no-verify	ў	B	4	4	3	700.0	2100.0	62.1	shell-cli-git
548	if [ -z	џ	B	4	4	3	700.0	2100.0	62.16	shell-cli-git
549	## Table of Contents	Ґ	B	4	4	3	700.0	2100.0	62.22	markdown-docs
550	pull request	Ғ	B	2	2	1	2100.0	2100.0	62.28	markdown-docs
551	thank you so much	ғ	B	4	4	3	700.0	2100.0	62.34	business-email
552	Access-Control-Allow-Origin	җ	B	4	4	3	700.0	2100.0	62.4	web-http-api
553	FULL OUTER JOIN	ҙ	B	3	4	3	700.0	2100.0	62.46	sql-data
554	ORDER BY 1	Қ	B	4	4	3	700.0	2100.0	62.51	sql-data
555	ON DELETE SET NULL	қ	B	4	4	3	700.0	2100.0	62.57	sql-data
556	INSERT OR REPLACE	ҟ	B	3	4	3	700.0	2100.0	62.63	sql-data
557	INSERT OR IGNORE	Ҡ	B	3	4	3	700.0	2100.0	62.69	sql-data
558	in addition to	ҡ	B	3	3	2	1000.0	2000.0	62.75	markdown-docs
559	at this point	ң	B	3	3	2	1000.0	2000.0	62.8	markdown-docs
560	parents=True, exist_ok=True	ҧ	B	6	6	5	400.0	2000.0	62.86	python
561	len(	ҩ	B	2	2	1	2000.0	2000.0	62.92	python
562	if not	ҫ	B	2	2	1	2000.0	2000.0	62.97	python
563	async function	ҭ	B	2	2	1	2000.0	2000.0	63.03	web-http-api
564	let mut	Ү	B	2	2	1	2000.0	2000.0	63.08	code-general
565	use std::	ү	B	3	3	2	1000.0	2000.0	63.14	code-general
566	) error {	Ұ	B	3	3	2	1000.0	2000.0	63.2	code-general
567	Ok(())	ұ	B	3	3	2	1000.0	2000.0	63.25	code-general
568	func (c *Config)	Ҳ	B	6	6	5	400.0	2000.0	63.31	code-general
569	fix the	ҳ	B	2	2	1	2000.0	2000.0	63.37	prompt-instructions
570	show me	ҵ	B	2	2	1	2000.0	2000.0	63.42	prompt-instructions
571	as possible	Ҷ	B	2	2	1	2000.0	2000.0	63.48	prompt-instructions
572	do not include	ҷ	B	3	3	2	1000.0	2000.0	63.53	prompt-instructions
573	error message	Һ	B	2	2	1	2000.0	2000.0	63.59	web-http-api
574	add a	һ	B	2	2	1	2000.0	2000.0	63.65	prompt-instructions
575	make a	ҽ	B	2	2	1	2000.0	2000.0	63.7	prompt-instructions
576	does not work	ҿ	B	3	3	2	1000.0	2000.0	63.76	prompt-instructions
577	at the end	Ә	B	3	3	2	1000.0	2000.0	63.82	prompt-instructions
578	that you	ә	B	2	2	1	2000.0	2000.0	63.87	prompt-instructions
579	git init	ӡ	B	2	2	1	2000.0	2000.0	63.93	shell-cli-git
580	git config	ӣ	B	2	2	1	2000.0	2000.0	63.98	shell-cli-git
581	sudo apt	Ө	B	2	2	1	2000.0	2000.0	64.04	shell-cli-git
582	npm test	ө	B	2	2	1	2000.0	2000.0	64.1	shell-cli-git
583	docker-compose	ӯ	B	2	2	1	2000.0	2000.0	64.15	shell-cli-git
584	kubectl get	ӷ	B	2	3	2	1000.0	2000.0	64.21	shell-cli-git
585	grep -v	ԥ	B	3	3	2	1000.0	2000.0	64.26	shell-cli-git
586	curl -O	Ա	B	3	3	2	1000.0	2000.0	64.32	shell-cli-git
587	systemctl status	Բ	B	3	3	2	1000.0	2000.0	64.38	shell-cli-git
588	head -n	Գ	B	3	3	2	1000.0	2000.0	64.43	shell-cli-git
589	npx eslint	Դ	B	3	3	2	1000.0	2000.0	64.49	shell-cli-git
590	**Output:**	Ե	B	3	3	2	1000.0	2000.0	64.55	markdown-docs
591	the following command	Ը	B	3	3	2	1000.0	2000.0	64.6	markdown-docs
592	please don't hesitate to contact me	Թ	B	7	6	5	400.0	2000.0	64.66	business-email
593	request headers	Ժ	B	2	2	1	2000.0	2000.0	64.71	web-http-api
594	rate limit	Ի	B	2	2	1	2000.0	2000.0	64.77	web-http-api
595	Not Found	Լ	B	2	2	1	2000.0	2000.0	64.83	web-http-api
596	HTTP response	Խ	B	2	2	1	2000.0	2000.0	64.88	web-http-api
597	application/x-www-form-urlencoded	Ծ	B	5	5	4	500.0	2000.0	64.94	web-http-api
598	REST API	Կ	B	2	2	1	2000.0	2000.0	65.0	web-http-api
599	NUMERIC(	Հ	B	3	3	2	1000.0	2000.0	65.05	sql-data
600	the set of	Մ	B	3	3	2	980.0	1960.0	65.11	math-logic
601	unsupervised learning	Յ	B	4	4	3	650.0	1950.0	65.16	ml-ai-jargon
602	state of the art	Ն	B	4	4	3	650.0	1950.0	65.22	ml-ai-jargon
603	feel free to reach out	Շ	B	5	5	4	480.0	1920.0	65.27	business-email
604	just wanted to follow up	Ո	B	5	5	4	480.0	1920.0	65.32	business-email
605	instead of	Չ	B	2	2	1	1900.0	1900.0	65.38	prompt-instructions
606	except Exception	Պ	B	2	2	1	1900.0	1900.0	65.43	python
607	is None	Ռ	B	2	2	1	1900.0	1900.0	65.48	python
608	export const	Ս	B	2	2	1	1900.0	1900.0	65.54	js-ts
609	?: string	Վ	B	2	2	1	1900.0	1900.0	65.59	js-ts
610	pub fn	Տ	B	2	2	1	1900.0	1900.0	65.64	code-general
611	while (	Ր	B	2	2	1	1900.0	1900.0	65.7	code-general
612	this code	Ւ	B	2	2	1	1900.0	1900.0	65.75	prompt-instructions
613	when i	Փ	B	2	2	1	1900.0	1900.0	65.8	prompt-instructions
614	transformer model	Ք	B	3	3	2	950.0	1900.0	65.86	ml-ai-jargon
615	Dockerfile	Օ	B	3	2	1	1900.0	1900.0	65.91	shell-cli-git
616	best regards	Ֆ	B	2	2	1	1900.0	1900.0	65.96	business-email
617	i hope you are doing well	՛	B	6	6	5	380.0	1900.0	66.02	business-email
618	refresh token	՝	B	2	2	1	1900.0	1900.0	66.07	web-http-api
619	401 Unauthorized	՞	B	2	2	1	1900.0	1900.0	66.12	web-http-api
620	status_code	ա	B	2	2	1	1900.0	1900.0	66.18	web-http-api
621	JSON response	բ	B	2	2	1	1900.0	1900.0	66.23	web-http-api
622	JSON.parse	գ	B	2	2	1	1900.0	1900.0	66.28	web-http-api
623	Bad Request	դ	B	2	2	1	1900.0	1900.0	66.34	web-http-api
624	await fetch	ե	B	2	2	1	1900.0	1900.0	66.39	web-http-api
625	error handling	զ	B	2	2	1	1900.0	1900.0	66.44	web-http-api
626	response body	է	B	2	2	1	1900.0	1900.0	66.5	web-http-api
627	as soon as possible	ը	B	4	4	3	620.0	1860.0	66.55	business-email
628	please do not hesitate to	թ	B	5	5	4	460.0	1840.0	66.6	business-email
629	thank you for your email	ժ	B	5	5	4	460.0	1840.0	66.65	business-email
630	it is worth noting that	ի	B	5	5	4	460.0	1840.0	66.71	logic-reasoning
631	APIRouter()	լ	B	3	4	3	600.0	1800.0	66.76	python
632	sqlite3.connect(	խ	B	4	4	3	600.0	1800.0	66.81	python
633	time.time()	ծ	B	3	3	2	900.0	1800.0	66.86	python
634	str(value or "")	կ	B	4	4	3	600.0	1800.0	66.91	python
635	isinstance(	հ	B	3	3	2	900.0	1800.0	66.96	python
636	return {	ձ	B	2	2	1	1800.0	1800.0	67.01	python
637	"ok": True	ղ	B	4	4	3	600.0	1800.0	67.06	python
638	except Exception as exc:	ճ	B	5	5	4	450.0	1800.0	67.11	python
639	Any]] = None	մ	B	4	4	3	600.0	1800.0	67.16	python
640	console.log(	յ	B	3	3	2	900.0	1800.0	67.21	js-ts
641	map[string]interface{}	ն	B	4	4	3	600.0	1800.0	67.26	code-general
642	Vec<	շ	B	2	2	1	1800.0	1800.0	67.31	code-general
643	using namespace std;	ո	B	4	4	3	600.0	1800.0	67.36	code-general
644	\n");	չ	B	2	2	1	1800.0	1800.0	67.41	code-general
645	ctx context.Context	պ	B	3	3	2	900.0	1800.0	67.46	code-general
646	?;	ջ	B	2	2	1	1800.0	1800.0	67.51	code-general
647	assertEquals(	ռ	B	2	3	2	900.0	1800.0	67.56	code-general
648	fix the bug	ս	B	3	3	2	900.0	1800.0	67.62	prompt-instructions
649	explain what	վ	B	2	3	2	900.0	1800.0	67.67	prompt-instructions
650	show me how	տ	B	3	3	2	900.0	1800.0	67.72	prompt-instructions
651	write me a	ր	B	3	3	2	900.0	1800.0	67.77	prompt-instructions
652	easier to	ց	B	3	3	2	900.0	1800.0	67.82	prompt-instructions
653	trying to	ւ	B	2	2	1	1800.0	1800.0	67.87	prompt-instructions
654	here is my	փ	B	3	3	2	900.0	1800.0	67.92	prompt-instructions
655	help me with	ք	B	3	3	2	900.0	1800.0	67.97	prompt-instructions
656	improve the	օ	B	3	3	2	900.0	1800.0	68.02	prompt-instructions
657	take a look at	ֆ	B	4	4	3	600.0	1800.0	68.07	prompt-instructions
658	the best way	և	B	3	3	2	900.0	1800.0	68.12	prompt-instructions
659	what's the best	։	B	4	4	3	600.0	1800.0	68.17	prompt-instructions
660	let's	ג	B	2	2	1	1800.0	1800.0	68.22	prompt-instructions
661	you are an expert	ז	B	4	4	3	600.0	1800.0	68.27	prompt-instructions
662	if it	ט	B	2	2	1	1800.0	1800.0	68.32	prompt-instructions
663	reinforcement learning	ך	B	4	3	2	900.0	1800.0	68.37	ml-ai-jargon
664	git stash	כ	B	2	2	1	1800.0	1800.0	68.42	shell-cli-git
665	chmod -R	ם	B	3	3	2	900.0	1800.0	68.48	shell-cli-git
666	/etc/hosts	ן	B	3	3	2	900.0	1800.0	68.53	shell-cli-git
667	git reset --soft	ס	B	4	4	3	600.0	1800.0	68.58	shell-cli-git
668	tail -n	ף	B	3	3	2	900.0	1800.0	68.63	shell-cli-git
669	[skip ci]	פ	B	4	4	3	600.0	1800.0	68.68	shell-cli-git
670	Cargo.toml	ץ	B	3	3	2	900.0	1800.0	68.73	shell-cli-git
671	set -e	צ	B	3	3	2	900.0	1800.0	68.78	shell-cli-git
672	$(pwd)	ק	B	3	3	2	900.0	1800.0	68.83	shell-cli-git
673	conda install	ء	B	2	3	2	900.0	1800.0	68.88	shell-cli-git
674	Get-ChildItem	آ	B	4	4	3	600.0	1800.0	68.93	shell-cli-git
675	table of contents	ؤ	B	3	3	2	900.0	1800.0	68.98	markdown-docs
676	**Tip:**	ئ	B	3	3	2	900.0	1800.0	69.03	markdown-docs
677	**Returns:**	ـ	B	3	3	2	900.0	1800.0	69.08	markdown-docs
678	## Contributing	٠	B	3	3	2	900.0	1800.0	69.13	markdown-docs
679	please refer to	١	B	3	3	2	900.0	1800.0	69.18	markdown-docs
680	the following example	٢	B	3	3	2	900.0	1800.0	69.23	markdown-docs
681	command line	٣	B	2	2	1	1800.0	1800.0	69.28	markdown-docs
682	you should see	٤	B	3	3	2	900.0	1800.0	69.33	markdown-docs
683	depending on your	٥	B	3	3	2	900.0	1800.0	69.39	markdown-docs
684	an array of	٦	B	3	3	2	900.0	1800.0	69.44	markdown-docs
685	the same way	٧	B	3	3	2	900.0	1800.0	69.49	markdown-docs
686	i will get back to you	٨	B	6	6	5	360.0	1800.0	69.54	business-email
687	response headers	٩	B	2	2	1	1800.0	1800.0	69.59	web-http-api
